,used_feature,train_accuracy,test_accuracy,train_f1,test_f1
30,"['대출기간', '총상환원금', '총상환이자', '총상환대출비율', '월별대출금액']",0.9696894169124468,0.9057489407659716,0.9697760146601627,0.9054554380511051
25,"['대출기간', '총상환원금', '총상환이자', '총상환대출비율']",0.9627383375565987,0.9034643183517488,0.962939468326359,0.9032152723709073
27,"['대출기간', '총상환원금', '총상환대출비율', '월별대출금액']",0.9666292803832787,0.9017612361884191,0.966728788525851,0.9015986863420316
29,"['총상환원금', '총상환이자', '총상환대출비율', '월별대출금액']",0.9677231753416691,0.9007643100440309,0.9678258811561898,0.9004229182096878
21,"['총상환원금', '총상환이자', '총상환대출비율']",0.9583627577230369,0.8954058320179447,0.9590052662588706,0.8953731946370689
7,"['대출기간', '총상환대출비율']",0.9396557692573977,0.894035058569411,0.9399321173367157,0.8939567556337741
23,"['총상환원금', '총상환대출비율', '월별대출금액']",0.9618106038577106,0.8904627398853535,0.9619166569306313,0.8901685024978223
26,"['대출기간', '총상환원금', '총상환이자', '월별대출금액']",0.9647184258990017,0.8892165822048683,0.9648136892622091,0.8888095888191042
28,"['대출기간', '총상환이자', '총상환대출비율', '월별대출금액']",0.963679918027112,0.8849381075018692,0.9638008309201191,0.884585785954821
16,"['대출기간', '총상환원금', '총상환대출비율']",0.9497639125437904,0.8842734900722772,0.9499944798028455,0.8841054451697501
20,"['대출기간', '총상환대출비율', '월별대출금액']",0.9517301541145682,0.883775027000083,0.9518655155231939,0.8836318934361839
18,"['대출기간', '총상환이자', '총상환대출비율']",0.9437267201152051,0.8824457921408989,0.9440227762594772,0.8822005947028422
24,"['총상환이자', '총상환대출비율', '월별대출금액']",0.9599966767748099,0.8819473290687049,0.9601485235713497,0.8816256200510941
3,['총상환대출비율'],0.9270967473933452,0.8812827116391128,0.9276833526014406,0.8813778220245968
10,"['총상환원금', '총상환대출비율']",0.9402096401224055,0.8730996095372601,0.9408485716785545,0.8730343772810668
17,"['대출기간', '총상환원금', '월별대출금액']",0.9593181849651754,0.8727673008224641,0.9593601095456996,0.8709231510310069
15,"['대출기간', '총상환원금', '총상환이자']",0.9461499051496144,0.87226883775027,0.9463613481334021,0.8716892802039962
14,"['총상환대출비율', '월별대출금액']",0.9440451958625846,0.8711472958378333,0.9441533196365784,0.8708511242608455
12,"['총상환이자', '총상환대출비율']",0.9359725280050956,0.8703165240508433,0.9366093606196639,0.87039532566489
22,"['총상환원금', '총상환이자', '월별대출금액']",0.9546656696991096,0.8664118966519897,0.9547988855457865,0.8655929578885819
9,"['총상환원금', '총상환이자']",0.9246320220440605,0.8401179695937526,0.925176767055079,0.8395374888126214
11,"['총상환원금', '월별대출금액']",0.9388665032747615,0.8368364210351417,0.9388343484954781,0.8335690256289042
5,"['대출기간', '총상환원금']",0.8057159473268808,0.7081083326410235,0.8029006679890279,0.6985332673018011
1,['총상환원금'],0.7823149032803002,0.6890836587189499,0.7783459246524936,0.678543510255516
19,"['대출기간', '총상환이자', '월별대출금액']",0.8399867070992398,0.6767882362714962,0.839867874087071,0.6715770415331083
13,"['총상환이자', '월별대출금액']",0.8248521857129011,0.6521558527872393,0.8243599123483167,0.644578539058412
6,"['대출기간', '총상환이자']",0.6877552998518396,0.5560770956218327,0.6807233833124406,0.5386719459610265
2,['총상환이자'],0.6668466746977942,0.5452355238016117,0.6579753700269403,0.5256910170940542
8,"['대출기간', '월별대출금액']",0.4151539068666141,0.37775193154440473,0.389892135375532,0.3473613442407651
4,['월별대출금액'],0.3921544191971642,0.3607211099111074,0.3679210750115742,0.3319300437487967
0,['대출기간'],0.34964483030781374,0.3456010633878874,0.25073574220234995,0.247669972631577
