,used_feature,train_accuracy,test_accuracy,train_f1,test_f1
14,"['총상환대출비율', '총상환원금', '총상환이자', '대출기간']",0.956811919301015,0.9014704660629725,0.9570574666611513,0.9012456232938301
10,"['총상환대출비율', '총상환원금', '총상환이자']",0.9516886137996926,0.8932873639611199,0.9523687555209654,0.8933619381194647
6,"['총상환대출비율', '대출기간']",0.9311953917944031,0.8890504278474703,0.9314501749648258,0.8889416448505362
11,"['총상환대출비율', '총상환원금', '대출기간']",0.9402650272089063,0.8797042452438315,0.9404880970685597,0.8795106187908474
12,"['총상환대출비율', '총상환이자', '대출기간']",0.9324969883271715,0.8772534684722106,0.9327668479184394,0.8770008906632993
0,['총상환대출비율'],0.9144407981279165,0.8743457672177453,0.9149847295338099,0.8745144553382284
13,"['총상환원금', '총상환이자', '대출기간']",0.9329677785624282,0.8709811414804354,0.9331493291813571,0.8703710683121033
4,"['총상환대출비율', '총상환원금']",0.9261828604660823,0.8684472875301155,0.9267746984387374,0.8684749049611129
5,"['총상환대출비율', '총상환이자']",0.9232750384247913,0.8666611281880867,0.9239047636198541,0.866813245099058
7,"['총상환원금', '총상환이자']",0.9087497749899611,0.8350087231037634,0.9093048216260463,0.8343329575006551
8,"['총상환원금', '대출기간']",0.7695481798418699,0.6885851956467558,0.7649304127264628,0.6770048662639822
1,['총상환원금'],0.7416053947022252,0.6621251142311207,0.7345020378030688,0.6480437268029493
9,"['총상환이자', '대출기간']",0.6417147841980643,0.5330647171222065,0.633304742960078,0.5146207435088059
2,['총상환이자'],0.6315651005967958,0.52857854947246,0.6181693709305763,0.5051495928376748
3,['대출기간'],0.34964483030781374,0.3456010633878874,0.25073574220234995,0.247669972631577
