,used_feature,train_accuracy,test_accuracy,train_f1,test_f1
110,"['대출기간', '총상환원금', '총상환이자', '총상환대출비율', '월별대출금액']",0.8868441822789017,0.8656226634543491,0.88694811759989,0.8653181318618433
74,"['대출기간', '총상환원금', '총상환이자', '총상환대출비율']",0.8857641340921364,0.8649995846141065,0.8859510414332253,0.8648466434454571
124,"['대출기간', '총상환원금', '총상환이자', '총상환액', '총상환대출비율', '월별대출금액']",0.8873149725141584,0.8645841987206114,0.8874366031448696,0.8643317835714825
108,"['대출기간', '총상환원금', '총상환이자', '총상환액', '총상환대출비율']",0.8862487710990182,0.8639611198803688,0.8864593996661382,0.8637987169459362
126,"['대출기간', '연간소득', '총상환원금', '총상환이자', '총상환액', '총상환대출비율', '월별대출금액']",0.8864010855868955,0.8627565007892332,0.8864630042798415,0.8624101032920221
118,"['총상환원금', '총상환이자', '총상환액', '총상환대출비율', '월별대출금액']",0.8861518436976419,0.8625072692531361,0.8863652938379551,0.8623038626051077
99,"['대출기간', '연간소득', '총상환원금', '총상환이자', '총상환대출비율']",0.8864980129882718,0.8623826534850877,0.8866590015603818,0.8621596968993075
121,"['대출기간', '연간소득', '총상환원금', '총상환이자', '총상환대출비율', '월별대출금액']",0.8873565128290339,0.8620918833596412,0.8874536271164812,0.8617747929066836
95,"['총상환원금', '총상환이자', '총상환대출비율', '월별대출금액']",0.8840748279538626,0.8614688045193986,0.8842612600486219,0.861227527527517
119,"['대출기간', '연간소득', '총상환원금', '총상환이자', '총상환액', '총상환대출비율']",0.885944142123264,0.8607626485004569,0.8861148142987111,0.8604809152340313
54,"['총상환원금', '총상환이자', '총상환대출비율']",0.8796300142621748,0.8595995679986708,0.8800757684447923,0.8596998233145168
115,"['연간소득', '총상환원금', '총상환이자', '총상환대출비율', '월별대출금액']",0.8832994087428516,0.8591426435158263,0.8834826601984365,0.8588614346935746
111,"['대출기간', '총상환원금', '총상환액', '총상환대출비율', '월별대출금액']",0.880779296307066,0.8585195646755837,0.8809346628797787,0.858450788176517
