,used_feature,train_accuracy,test_accuracy,train_f1,test_f1
10,"['총상환대출비율', '총상환원금', '총상환이자', '대출기간', '총상환액', '월별대출금액']",0.8873149725141584,0.8647503530780095,0.8874366031448696,0.8644969499590989
11,"['총상환대출비율', '총상환원금', '총상환이자', '대출기간', '총상환액']",0.8862487710990182,0.8637534269336213,0.8864593996661382,0.8635860885371742
8,"['총상환대출비율', '총상환원금', '총상환이자', '대출기간', '총상환액', '월별대출금액', '연간소득', '대출금액']",0.8873288192857836,0.8634211182188253,0.8874021533383474,0.8631331048851448
12,"['총상환대출비율', '총상환원금', '총상환이자', '대출기간']",0.8850302551960011,0.8634211182188253,0.8851890087252441,0.8631503571162878
9,"['총상환대출비율', '총상환원금', '총상환이자', '대출기간', '총상환액', '월별대출금액', '연간소득']",0.8858195211786372,0.8632134252720778,0.8858918929538234,0.8629064905257999
7,"['총상환대출비율', '총상환원금', '총상환이자', '대출기간', '총상환액', '월별대출금액', '연간소득', '대출금액', '부채_대비_소득_비율']",0.8878411498359158,0.861593420287447,0.887951405002526,0.8611710814369568
4,"['총상환대출비율', '총상환원금', '총상환이자', '대출기간', '총상환액', '월별대출금액', '연간소득', '대출금액', '부채_대비_소득_비율', '대출목적', '총계좌수', '근로기간']",0.8889627383375566,0.861427265930049,0.8890473313380475,0.8610637831293928
1,"['총상환대출비율', '총상환원금', '총상환이자', '대출기간', '총상환액', '월별대출금액', '연간소득', '대출금액', '부채_대비_소득_비율', '대출목적', '총계좌수', '근로기간', '최근_2년간_연체_횟수', '주택소유상태', '총연체금액']",0.8895858430606904,0.860845725679156,0.8896908224162187,0.8605910705842411
6,"['총상환대출비율', '총상환원금', '총상환이자', '대출기간', '총상환액', '월별대출금액', '연간소득', '대출금액', '부채_대비_소득_비율', '대출목적']",0.8881180852684196,0.860845725679156,0.8882269340808813,0.8604075497449867
5,"['총상환대출비율', '총상환원금', '총상환이자', '대출기간', '총상환액', '월별대출금액', '연간소득', '대출금액', '부채_대비_소득_비율', '대출목적', '총계좌수']",0.8887411899915535,0.8605549555537094,0.8888250822411131,0.8601749223965217
3,"['총상환대출비율', '총상환원금', '총상환이자', '대출기간', '총상환액', '월별대출금액', '연간소득', '대출금액', '부채_대비_소득_비율', '대출목적', '총계좌수', '근로기간', '최근_2년간_연체_횟수']",0.888630415818552,0.8594749522306222,0.8887056343750537,0.8591357841251059
2,"['총상환대출비율', '총상환원금', '총상환이자', '대출기간', '총상환액', '월별대출금액', '연간소득', '대출금액', '부채_대비_소득_비율', '대출목적', '총계좌수', '근로기간', '최근_2년간_연체_횟수', '주택소유상태']",0.8887273432199283,0.8593503364625737,0.8888359113698034,0.8590425595709114
0,"['총상환대출비율', '총상환원금', '총상환이자', '대출기간', '총상환액', '월별대출금액', '연간소득', '대출금액', '부채_대비_소득_비율', '대출목적', '총계좌수', '근로기간', '최근_2년간_연체_횟수', '주택소유상태', '총연체금액', '연체계좌수']",0.8884919481022999,0.8593087978732242,0.8885861112337461,0.8590975478789074
13,"['총상환대출비율', '총상환원금', '총상환이자']",0.8794084659161716,0.8573564841737975,0.8798844934446777,0.857497824050535
15,['총상환대출비율'],0.8477685927525997,0.8319348674918999,0.847913853541904,0.8318590955560529
14,"['총상환대출비율', '총상환원금']",0.8483916974757335,0.8288194732906871,0.8487775972403512,0.8289050780201265
