,used_feature,train_accuracy,test_accuracy,train_f1,test_f1
563,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '월별대출금액']",0.8633739043741951,0.850087231037634,0.8634610042025151,0.8498970777726396
1036,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '월별대출금액', '최근_2년간_연체_횟수']",0.8639000816959526,0.8500041538589349,0.863991647691086,0.849804276491131
567,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '대출금액']",0.8636508398066991,0.8496303065547894,0.8637085297481821,0.8494151694405376
1830,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '총상환액', '월별대출금액', '최근_2년간_연체_횟수', '대출금액']",0.8638031542945762,0.8494226136080418,0.8639004015679267,0.8492171398618537
1492,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '총상환액', '월별대출금액', '최근_2년간_연체_횟수']",0.8630000415403148,0.8494226136080418,0.8630798007448305,0.8491980226553086
1037,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '월별대출금액', '대출금액']",0.8626400254780597,0.8492979978399934,0.8627149069682669,0.8491132629636554
1493,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '총상환액', '월별대출금액', '대출금액']",0.8635954527201983,0.8491733820719448,0.8636664852946365,0.8489447573038352
1028,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '총상환액', '대출금액']",0.8624877109901826,0.8489656891251973,0.8625712761758365,0.8487641417118458
1499,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '총상환액', '최근_2년간_연체_횟수', '대출금액']",0.8625015577618078,0.8487164575891003,0.862583322596167,0.8484993427125798
1043,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '최근_2년간_연체_횟수', '대출금액']",0.8632769769728188,0.8486333804104013,0.8633393465618082,0.8483910466090951
1515,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '월별대출금액', '최근_2년간_연체_횟수', '대출금액']",0.8635816059485731,0.8485503032317022,0.8636507470841414,0.8483331175825575
1024,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '총상환액', '월별대출금액']",0.8625569448483086,0.8485087646423527,0.8626290189122532,0.848264225072543
1512,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '월별대출금액', '연간소득', '대출금액']",0.8631523560281921,0.8484256874636538,0.8631480752046043,0.8481238297756618
1039,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '연간소득', '최근_2년간_연체_횟수']",0.8615876708345449,0.8483426102849547,0.8615591515911982,0.8479743922871049
231,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금']",0.8620723078414267,0.8482595331062557,0.862132374935158,0.8480476771077183
566,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '최근_2년간_연체_횟수']",0.8621969287860536,0.8480518401595082,0.8622828258270914,0.8478566253508112
1485,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '총상환액', '대출목적', '월별대출금액']",0.861878453038674,0.8479687629808091,0.8619245303696517,0.8477186666877422
561,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '총상환액']",0.8632492834295684,0.8478856858021102,0.8633408745272407,0.8477116532915454
1040,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '연간소득', '대출금액']",0.8624323239036819,0.8478856858021102,0.8624434034163748,0.8475842018446768
1027,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '총상환액', '최근_2년간_연체_횟수']",0.861878453038674,0.8477195314447121,0.8619472851957267,0.8474962017834232
1511,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '월별대출금액', '연간소득', '최근_2년간_연체_횟수']",0.8627646464226866,0.8477195314447121,0.8627528530278393,0.8474026963227438
1490,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '총상환액', '월별대출금액', '연간소득']",0.8626400254780597,0.8477195314447121,0.8626643660014358,0.8474096380423639
1029,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '대출목적', '월별대출금액']",0.8623769368171811,0.8475949156766637,0.8624466131023985,0.8473409880223447
1503,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '대출목적', '월별대출금액', '대출금액']",0.8630415818551904,0.8475533770873142,0.8630723681607788,0.8472703420292096
1817,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '총상환액', '대출목적', '월별대출금액', '최근_2년간_연체_횟수']",0.8616015176061701,0.8474702999086151,0.8616641383147083,0.8472166553575832
1034,"['대출기간', '총상환대출비율', '총상환이자', '총상환원금', '월별대출금액', '연간소득']",0.862515404533433,0.8474287613192656,0.8624906654649266,0.8470687064756669
